Instance,,PanSampler,,,PanSampler-Alt1,,,PanSampler-Alt2,,,PanSampler-Alt3,
,,#sol,#time,,#sol,#time,,#sol,#time,,#sol,#time
QF_ABV/egt/egt-0474,,--,--,,--,--,,--,--,,--,--
QF_ABV/egt/egt-1526,,--,--,,--,--,,--,--,,--,--
QF_ABV/egt/egt-1550,,--,--,,--,--,,--,--,,--,--
QF_ABV/egt/egt-4211,,--,--,,--,--,,--,--,,--,--
QF_ABV/egt/egt-6650,,--,--,,--,--,,--,--,,--,--
QF_ABV/egt/egt-7155,,--,--,,--,--,,--,--,,--,--
QF_ABV/platania/no_init_simple_member/no_init_simple_member2,,2,0.26,,--,--,,--,--,,--,--
QF_ABV/stp_samples/run_00000.trace.cond_021458_0x7c80a939_00,,12,7.25,,--,--,,85,48.83,,15,7.68
QF_ABV/stp_samples/run_00000.trace.cond_021487_0x7c80aacd_00,,13,10.43,,23,11.16,,--,--,,14,6.67
QF_ABV/stp_samples/run_00000.trace.cond_021513_0x7c80ab56_00,,12,7.06,,--,--,,49,25.87,,12,7.77
QF_ABV/stp_samples/run_00000.trace.cond_021516_0x7c80ab62_00,,15,13.79,,--,--,,41,27.49,,14,7.46
QF_ABV/stp_samples/run_00000.trace.cond_021524_0x7c80ab81_00,,13,11.56,,--,--,,88,65.07,,15,9.8
QF_ABV/stp_samples/run_00000.trace.cond_021528_0x7c80ab8f_00,,14,11.99,,411,378.58,,55,35.35,,12,6.24
QF_ABV/stp_samples/run_00000.trace.cond_021530_0x7c80ab96_00,,--,--,,--,--,,--,--,,--,--
QF_ABV/stp_samples/run_00000.trace.cond_021534_0x7c80aba4_00,,14,11.24,,156,117.31,,45,33.16,,13,7.53
QF_ABV/stp_samples/run_00000.trace.cond_022152_0x7c80a939_00,,12,11.78,,--,--,,604,1619.93,,13,8.15
QF_ABV/stp_samples/run_00000.trace.cond_022198_0x7c80ab39_00,,13,12.15,,--,--,,248,345.07,,14,9.47
QF_ABV/stp_samples/run_00000.trace.cond_022207_0x7c80ab56_00,,14,13.37,,--,--,,43,24.99,,13,8.09
QF_ABV/stp_samples/run_00000.trace.cond_022301_0x9503aad_00,,22,21.11,,--,--,,--,--,,18,11.25
QF_ABV/stp_samples/run_00000.trace.cond_022628_0x9502edb_00,,12,9.87,,--,--,,59,42.78,,13,9.04
QF_ABV/stp_samples/run_00000.trace.cond_022643_0x9502eaf_00,,16,18.18,,--,--,,26,17.56,,16,9.49
QF_ABV/stp_samples/run_00007.trace.Alloc_zero__014071,,156,399.76,,46,17.37,,--,--,,--,--
QF_ABV/stp_samples/run_00007.trace.Alloc_zero__015045,,8,4.1,,11,5.11,,10,3.51,,8,3.54
QF_ABV/stp_samples/run_00007.trace.Alloc_zero__015532,,7,4.61,,9,4.39,,15,6.88,,8,3.81
QF_ABV/stp_samples/run_00007.trace.Alloc_zero__016019,,7,5.33,,9,5.6,,9,4.17,,7,4.3
QF_ABV/stp_samples/run_00007.trace.cond_014512_0x950130a_00,,6,1.96,,10,3.27,,9,2.59,,7,2.46
QF_ABV/stp_samples/run_00007.trace.cond_014534_0x95026e6_00,,6,2.7,,12,4.28,,9,3.19,,6,2.55
,,,,,,,,,,,,
