Instance,,PanSampler,,,PanSampler-Alt1,,,PanSampler-Alt2,,,PanSampler-Alt3,
,,#sol,#time,,#sol,#time,,#sol,#time,,#sol,#time
QF_BV/sage/app12/bench_5350,,5,18.01,,6,14.33,,6,7.15,,5,9.5
QF_BV/sage/app12/bench_5354,,5,18.33,,7,19.86,,6,7.88,,5,7.56
QF_BV/sage/app12/bench_5361,,5,19.84,,7,20.98,,6,6.24,,5,10.05
QF_BV/sage/app12/bench_5365,,5,18.4,,6,14.15,,6,11.13,,5,11.23
QF_BV/sage/app12/bench_5367,,6,24.55,,8,24.01,,10,12.26,,7,12.31
QF_BV/sage/app12/bench_5369,,7,28.73,,8,21.76,,7,9.89,,6,10.77
QF_BV/sage/app12/bench_5370,,6,27.62,,7,22.34,,9,13.63,,6,13.61
QF_BV/sage/app12/bench_5371,,5,20.02,,7,22.43,,6,7.97,,5,9.67
QF_BV/sage/app12/bench_5372,,6,21.59,,6,13.17,,7,9.15,,6,12.49
QF_BV/sage/app12/bench_5373,,5,21.61,,6,16.26,,7,9.97,,6,11.21
QF_BV/sage/app12/bench_5377,,6,25.81,,7,20.54,,6,10.62,,5,10.07
QF_BV/sage/app12/bench_5378,,6,23.84,,7,17.36,,7,11.15,,6,10.74
QF_BV/sage/app12/bench_5379,,6,24.1,,7,21.32,,8,9.87,,6,10.81
