Instance,,PanSampler,,,SMTSampler,,,GuidedSampler,,,CSB,
,,#sol,#time,,#sol,#time,,#sol,#time,,#sol,#time
QF_BV/sage/app12/bench_5361,,8,29.63,,134,236.06,,143,263.09,,15,2.98
QF_BV/sage/app12/bench_5365,,8,26.87,,105,179.56,,119,304.74,,19,3.77
QF_BV/sage/app12/bench_5367,,10,36.64,,125,281.63,,136,489.55,,32,7.28
QF_BV/sage/app12/bench_5369,,13,47.52,,148,324.98,,108,412.46,,37,8.37
QF_BV/sage/app12/bench_5370,,10,40.33,,172,312.76,,133,320.3,,25,5.59
QF_BV/sage/app12/bench_5371,,9,33.29,,132,324.48,,126,349.25,,18,4.1
QF_BV/sage/app12/bench_5372,,10,33.45,,157,312.62,,153,441.23,,20,4.04
QF_BV/sage/app12/bench_5373,,9,36.92,,98,383.83,,169,439.23,,29,6.55
QF_BV/sage/app12/bench_5377,,9,36.02,,137,331.86,,53,572.35,,18,4.39
QF_BV/sage/app12/bench_5378,,9,33.53,,152,307.63,,168,545.45,,16,3.71
QF_BV/sage/app12/bench_5379,,10,36.37,,167,366.15,,167,418.42,,25,5.89
QF_BV/sage/app12/bench_5390,,9,32.38,,201,368.94,,198,482.8,,16,3.5
QF_BV/sage/app12/bench_5401,,9,30.7,,124,283.66,,147,310.62,,26,5.42
QF_BV/sage/app12/bench_5414,,10,31.92,,174,367.25,,178,506.84,,23,4.51
QF_BV/sage/app12/bench_5445,,9,32.77,,156,522.89,,152,419.42,,17,3.67
QF_BV/sage/app12/bench_5457,,9,32.45,,157,359.77,,139,438.45,,21,4.17
QF_BV/sage/app12/bench_5461,,10,36.28,,106,443.08,,158,398.95,,21,4.24
QF_BV/sage/app12/bench_5520,,9,33.2,,107,432.56,,161,418.4,,21,4.14
QF_BV/sage/app12/bench_5532,,9,31.95,,150,331.4,,150,312.82,,16,3.09
QF_BV/sage/app12/bench_5537,,10,34.26,,153,296.55,,161,604.19,,17,3.43
QF_BV/sage/app12/bench_5540,,9,31.91,,106,467.93,,181,585.59,,27,5.65
QF_BV/sage/app12/bench_5544,,9,32.35,,114,395.55,,173,526.81,,17,3.4
QF_BV/sage/app12/bench_5545,,10,34.76,,153,379.61,,163,513.11,,17,3.5
QF_BV/sage/app12/bench_5546,,10,36.59,,151,289.75,,152,364.79,,23,4.55
QF_BV/sage/app12/bench_5547,,10,36.7,,153,236.51,,159,304.96,,27,5.36
QF_BV/sage/app12/bench_5559,,10,35.44,,88,400.63,,175,519.59,,16,3.27
QF_BV/sage/app12/bench_5560,,11,37.94,,145,299.05,,146,340.29,,16,3.23
QF_BV/sage/app12/bench_5561,,10,36.95,,146,385.87,,149,437.12,,22,4.44
QF_BV/sage/app12/bench_5566,,10,32.11,,157,299.21,,155,329.87,,28,5.48
QF_BV/sage/app12/bench_5573,,10,37.7,,154,385.32,,151,337.04,,35,6.78
QF_BV/sage/app12/bench_5577,,9,32.68,,128,442.76,,160,401.53,,35,7.24
QF_BV/sage/app12/bench_5578,,12,46.29,,171,364.51,,112,338.6,,41,11.8
QF_BV/sage/app12/bench_5580,,12,45.54,,83,269.48,,134,507.66,,23,6.54
