Instance,,PanSampler,,,SMTSampler,,,GuidedSampler,,,CSB,
,,#sol,#time,,#sol,#time,,#sol,#time,,#sol,#time
QF_BV/sage/app12/bench_1603,,1,5.37,,1,5.68,,1,6.21,,1,0.23
QF_BV/sage/app12/bench_1614,,1,4.04,,1,0.56,,1,0.5,,1,0.23
QF_BV/sage/app12/bench_1625,,1,3.64,,1,5.27,,1,7.37,,1,0.18
QF_BV/sage/app12/bench_1636,,1,5.27,,1,5.66,,1,8.29,,1,0.2
QF_BV/sage/app12/bench_1669,,1,3.25,,1,0.46,,1,0.42,,1,0.51
QF_BV/sage/app12/bench_1670,,1,5.51,,1,5.53,,1,10.47,,1,0.23
QF_BV/sage/app12/bench_1681,,1,5.27,,1,5.71,,1,10.53,,1,0.22
QF_BV/sage/app12/bench_1692,,1,5.43,,1,5.84,,1,10.57,,1,0.25
QF_BV/sage/app12/bench_1780,,1,2.64,,1,0.53,,1,0.4,,1,0.19
QF_BV/sage/app12/bench_1803,,1,5.13,,1,5.68,,1,9.13,,1,0.24
QF_BV/sage/app12/bench_1914,,1,5.2,,1,5.59,,1,10.56,,1,0.22
QF_BV/sage/app12/bench_2047,,1,5.4,,1,5.82,,1,5.75,,1,0.23
QF_BV/sage/app12/bench_2113,,1,2.56,,1,0.38,,1,0.36,,1,0.18
QF_BV/sage/app12/bench_237,,1,2.7,,1,0.53,,1,0.33,,1,0.18
QF_BV/sage/app12/bench_259,,1,2.39,,1,0.45,,1,0.43,,1,0.18
QF_BV/sage/app12/bench_2625,,1,5.23,,1,5.62,,1,10.52,,1,0.22
QF_BV/sage/app12/bench_2714,,1,5.37,,1,5.62,,1,8.47,,1,0.23
QF_BV/sage/app12/bench_2780,,1,2.83,,1,0.71,,1,0.49,,1,0.19
QF_BV/sage/app12/bench_281,,1,2.78,,1,0.39,,1,0.42,,1,0.18
QF_BV/sage/app12/bench_2847,,1,5.41,,1,5.65,,1,10.51,,1,0.22
QF_BV/sage/app12/bench_2869,,1,5.43,,1,5.62,,1,7.98,,1,0.22
QF_BV/sage/app12/bench_2892,,1,5.23,,1,5.67,,1,9.16,,1,0.22
QF_BV/sage/app12/bench_2914,,1,5.22,,1,5.67,,1,9.21,,1,0.24
QF_BV/sage/app12/bench_2969,,1,5.23,,1,5.64,,1,10.5,,1,0.21
QF_BV/sage/app12/bench_3,,1,2.65,,1,0.45,,1,0.47,,1,0.21
QF_BV/sage/app12/bench_3014,,1,4.77,,1,5.62,,1,10.54,,1,0.24
QF_BV/sage/app12/bench_3113,,1,2.42,,1,0.44,,1,0.35,,1,0.2
QF_BV/sage/app12/bench_3202,,1,5.16,,1,5.64,,1,9.29,,1,0.19
QF_BV/sage/app12/bench_3236,,1,4.68,,1,5.67,,1,10.52,,1,0.23
QF_BV/sage/app12/bench_3247,,1,5.16,,1,5.66,,1,9.27,,1,0.21
QF_BV/sage/app12/bench_3258,,1,4.82,,1,5.6,,1,7.81,,1,0.22
QF_BV/sage/app12/bench_3291,,1,5.12,,1,5.72,,1,9.33,,1,0.21
QF_BV/sage/app12/bench_3324,,1,5.61,,1,5.64,,1,10.52,,1,0.26
QF_BV/sage/app12/bench_3337,,1,5.12,,1,5.63,,1,9.55,,1,0.24
QF_BV/sage/app12/bench_3359,,1,6.06,,1,4.89,,1,8.99,,1,0.25
QF_BV/sage/app12/bench_336,,1,3.05,,1,0.39,,1,0.35,,1,0.22
QF_BV/sage/app12/bench_3381,,1,6.69,,1,5.58,,1,10.46,,1,0.66
QF_BV/sage/app12/bench_3392,,1,6.29,,1,5.63,,1,10.54,,1,0.27
QF_BV/sage/app12/bench_3403,,1,6.5,,1,5.64,,1,10.52,,1,0.24
QF_BV/sage/app12/bench_3414,,1,5.48,,1,5.68,,1,10.51,,1,0.23
QF_BV/sage/app12/bench_3425,,1,6.33,,1,5.7,,1,6.8,,1,0.22
QF_BV/sage/app12/bench_3447,,1,2.71,,1,0.47,,1,0.41,,1,0.18
QF_BV/sage/app12/bench_3459,,1,6.28,,1,5.66,,1,10.52,,1,0.24
QF_BV/sage/app12/bench_3470,,1,6.3,,1,5.67,,1,5.32,,1,0.22
QF_BV/sage/app12/bench_3481,,1,6.03,,1,5.61,,1,6.9,,1,0.23
QF_BV/sage/app12/bench_3558,,1,3.16,,1,0.44,,1,0.38,,1,0.18
QF_BV/sage/app12/bench_359,,1,3.13,,1,0.59,,1,0.35,,1,0.19
QF_BV/sage/app12/bench_3592,,1,5.84,,1,5.6,,1,10.51,,1,0.26
QF_BV/sage/app12/bench_3703,,1,5.68,,1,5.63,,1,10.48,,1,0.25
QF_BV/sage/app12/bench_381,,1,2.75,,1,0.52,,1,0.43,,1,0.17
QF_BV/sage/app12/bench_3836,,1,4.85,,1,5.66,,1,10.49,,1,0.23
QF_BV/sage/app12/bench_392,,1,2.69,,1,0.41,,1,0.41,,1,0.19
QF_BV/sage/app12/bench_4114,,1,5.23,,1,5.71,,1,10.52,,1,0.23
QF_BV/sage/app12/bench_4202,,1,6.01,,1,5.68,,1,10.48,,1,0.22
QF_BV/sage/app12/bench_448,,1,2.5,,1,0.51,,1,0.41,,1,0.17
QF_BV/sage/app12/bench_459,,1,2.85,,1,0.42,,1,0.32,,1,0.17
QF_BV/sage/app12/bench_4681,,1,5.58,,1,5.6,,1,7.49,,1,0.23
QF_BV/sage/app12/bench_5258,,1,6.17,,1,5.67,,1,10.53,,1,0.26
QF_BV/sage/app12/bench_5324,,1,5.5,,1,5.53,,1,10.5,,1,0.26
QF_BV/sage/app12/bench_5327,,1,5.53,,1,5.66,,1,10.56,,1,0.26
QF_BV/sage/app12/bench_5328,,1,5.15,,1,5.66,,1,9.03,,1,0.22
QF_BV/sage/app12/bench_5329,,1,5.61,,1,5.89,,1,7.82,,1,0.23
QF_BV/sage/app12/bench_5333,,1,6.18,,1,5.62,,1,10.47,,1,0.36
QF_BV/sage/app12/bench_5334,,1,5.51,,1,5.59,,1,10.5,,1,0.26
QF_BV/sage/app12/bench_5335,,1,5.48,,1,5.69,,1,5.38,,1,0.26
QF_BV/sage/app12/bench_5348,,1,5.59,,1,4.95,,1,5.9,,1,0.23
QF_BV/sage/app12/bench_5349,,1,5.9,,1,5.67,,1,10.56,,1,0.22
QF_BV/sage/app12/bench_5350,,1,5.54,,1,5.65,,1,9.7,,1,0.27
QF_BV/sage/app12/bench_5354,,1,5.28,,1,5.66,,1,3.06,,1,0.24
QF_BV/sage/app12/bench_5361,,1,6.35,,1,5.64,,1,10.52,,1,0.21
QF_BV/sage/app12/bench_5365,,1,5.19,,1,5.67,,1,10.49,,1,0.22
QF_BV/sage/app12/bench_5367,,1,5.88,,1,3.85,,1,8.97,,1,0.32
QF_BV/sage/app12/bench_5369,,1,6.31,,1,4.75,,1,6.86,,1,0.26
QF_BV/sage/app12/bench_5370,,1,6.93,,1,3.3,,1,5.69,,1,0.24
QF_BV/sage/app12/bench_5371,,1,5.88,,1,5.66,,1,5.87,,1,0.28
QF_BV/sage/app12/bench_5372,,1,5.86,,1,5.64,,1,5.32,,1,0.25
QF_BV/sage/app12/bench_5373,,1,6.82,,1,5.63,,1,3.39,,1,0.23
QF_BV/sage/app12/bench_5377,,1,6.51,,1,2.28,,1,4.83,,1,0.28
QF_BV/sage/app12/bench_5378,,1,5.71,,1,5.79,,1,3.17,,1,0.27
QF_BV/sage/app12/bench_5379,,1,6.63,,1,2.16,,1,5.23,,1,0.28
QF_BV/sage/app12/bench_5390,,1,5.93,,1,4.51,,1,3.15,,1,0.19
QF_BV/sage/app12/bench_5401,,1,6.41,,1,3.6,,1,2.04,,1,0.24
QF_BV/sage/app12/bench_5414,,1,5.31,,1,2.16,,1,3.4,,1,0.23
QF_BV/sage/app12/bench_5445,,1,5.88,,1,5.65,,1,5.8,,1,0.26
QF_BV/sage/app12/bench_5457,,1,5.49,,1,3.81,,1,3.75,,1,0.24
QF_BV/sage/app12/bench_5461,,1,6.82,,1,5.66,,1,4.15,,1,0.24
QF_BV/sage/app12/bench_5520,,1,6.6,,1,5.66,,1,5.23,,1,0.22
